component,parameter,value,unit,uncertainty,info,source
trunk,specific_maintenance,5e-4,g_CH2O/g_DM/day,NA,The specific maintenance.,"Copied from Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. Table II."
trunk,conversion_efficiency,0.69,g_DM/g_CH2O,NA,The conversion efficiency.,"Copied from Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. In turn based on van Kraalingen, D.W.G., 1989. See text below table II and table III."
trunk,lignification_rate,0.74,kg/m3/month,NA,The lignification rate.,"Corley, R.H.V. and P.B. Tinker. 2003b. Growth, flowering and yield. In The Oil Palm 4th Edn. B.S. Ltd. Blackwell Publishing, pp 89–131."
trunk,mass_loss_rate,0,t/ha/day,NA,The mass loss rate.,Assumption: the trunk loses no mass --- first made by Alba/Hoffman.
roots,conversion_efficiency,0.69,g_DM/g_CH2O,10%,The conversion efficiency.,"Taken from Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. In turn based on van Kraalingen, D.W.G., 1989. See text below table II and table III."
roots,loss_param,5.82e-4,1/day,20%,Co-determines the mass loss rate of the roots.,"Henson, I. E. (2005). Modelling vegetative dry matter production of oil palm. Oil Palm Bulletin, 52, 25."
roots,specific_maintenance,0.0022,g_CH2O/g_DM/day,20%,The specific maintenance.,"Taken from Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. Table 2."
assimilates,vegetative_priority,0.8,1,NA,"The priority given to assimilates for vegetative growth -- 0: according to sink strength, 1: full priority.","Based on the figure found in Corley, ch. 5, p. 100 (attributed to Squire, 1990) and furthermore Legros et al. 2009."
soil,default_water_holding_capacity,500,mm,NA,Working definition: The difference between rooting zone water content at field capacity (pF 2) and permanent wilting point (pF 4.2). If soil texture and rooting depth are not given.,Input: soil/root characteristic.
soil,relative_evapotranspiration_a,0.2,1,NA,Shapes the sigmoid (1/(1+exp(-(x-a)/b))) relation between actual to potential ET_monthly versus soil water content.,Based on the relation given in Combres et al. 2013 which refers to the PhD thesis by E. Dufrene (1989).
soil,relative_evapotranspiration_b,0.1,1,NA,Shapes the sigmoid (1/(1+exp(-(x-a)/b))) relation between actual to potential ET_monthly versus soil water content.,Based on the relation given in Combres et al. 2013 which refers to the PhD thesis by E. Dufrene (1989).
indeterminate,abortion_fraction,0,1/day,NA,Monthly aborted fraction before (!) sex differentiation.,"Estimated to be insignificantly small - note, not mentioned in Adam et al. 2011."
indeterminate,potential_mass_a,31,kg_FM,NA,Co-determines the potential bunch mass.,Calibration via boundary line analysis.
indeterminate,potential_mass_b,0.1,1/year,NA,Co-determines the potential bunch mass.,Calibration via boundary line analysis.
indeterminate,t_differentiation,0.2,1,NA,The time of sex differentiation relative to the duration of the total female phenological cycle.,"Calibration - initially based on Adam et al., see fig 3."
indeterminate,bunch_FM_to_DM_ratio,1.9,1,NA,The fresh to dry mass of a bunch.,"Afshin, K., Johari, E., Haniff, H., Desa, A., & Farah, S. (2012). The reflection of moisture content on palm oil development during the ripening process of fresh fruits. Journal of Food, Agriculture & Environment, 10(1 part 1), 203-209."
male,t_anthesis,0.82,1,NA,The point in the phenological cycle at which anthesis takes place.,"Adam et al. 2011, see fig 3."
female,inflorescence_abortion_t0,0.75,1,NA,The point in the phenological cycle at which inflorescence abortion starts.,"Calibration - initially based on Adam et al. 2011, see fig 3."
female,inflorescence_abortion_dt,0.03,1,NA,The fraction of the phenological cycle in which inflorescence abortion occurs.,"Calibration - initially based on Adam et al. 2011, see fig 3."
female,bunch_failure_t0,0.92,1,NA,The point in the phenological cycle at which bunch failure starts.,"Calibration - initially based on Adam et al. 2011, see fig 3."
female,bunch_failure_dt,0.03,1,NA,The fraction of the phenological cycle in which inflorescence abortion occurs.,"Calibration - initially based on Adam et al. 2011, see fig 3."
female,t_anthesis,0.82,1,NA,The point in the phenological cycle at which anthesis takes place.,"Calibration - initially based on Adam et al. 2011, see fig 3."
female,stress_bunch_failure_asymptote,0.95,1/day,10%,The maximum bunch failure due to stress.,Calibration; based on L.D. Sparnaaijs thesis: The analysis of bunch production. p 26. figure 5.
female,stress_bunch_failure_increase,10,1,10%,The increase in bunch failure per unit increase of the stress index.,Calibration.
female,stress_bunch_failure_x0,5,1,NA,The stress index at which the stress response (slope) is maximum. ,Calibration.
female,stress_inflorescence_abortion,1,NA,NA,NA,NA
female,stress_bunch_failure,1,NA,NA,NA,NA
female,stress_inflorescence_abortion_asymptote,0.95,1/day,NA,The maximum infloresence abortion due to stress.,Calibration; based on L.D. Sparnaaijs thesis: The analysis of bunch production. p 26. figure 5.
female,stress_inflorescence_abortion_increase,10,1/day,NA,The increase in infloresence abortion per unit increase of the stress index.,Calibration.
female,stress_inflorescence_abortion_x0,5,1,NA,The stress index at which the stress response (slope) is maximum. ,Calibration.
stalk,conversion_efficiency,0.69,g_DM/g_CH2O,NA,The conversion efficiency.,"Based on Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. In turn based on van Kraalingen, D.W.G., 1989. See text below table II and table III."
stalk,potential_mass_fraction,0.25,1,NA,The fraction of the potential mass that can be attributed to this component.,"Based on Corley, Ch.5. See fig 5.7."
stalk,specific_maintenance,0.0022,g_CH2O/g_DM/day,NA,The specific maintenance.,"Based on Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. Table II."
stalk,t_growth_start,0,1,NA,"The start of potential growth, relative to/ after leaf initiation.","Based on Corley, Ch.5. See fig 5.7."
stalk,t_growth_end,0.75,1,NA,"The end of potential growth, relative to/after leaf initiation.","Based on Corley, Ch.5. See fig 5.7."
mesocarp_fibers,conversion_efficiency,0.69,g_DM/g_CH2O,NA,The conversion efficiency.,"Based on Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. In turn based on van Kraalingen, D.W.G., 1989. See text below table II and table III."
mesocarp_fibers,potential_mass_fraction,0.35,1,NA,The fraction of the potential mass that can be attributed to this component.,"Based on Corley, Ch.5. See fig 5.7."
mesocarp_fibers,specific_maintenance,0.0022,g_CH2O/g_DM/day,NA,The specific maintenance.,"Based on Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. Table II."
mesocarp_fibers,t_growth_start,0.825,1,NA,"The start of potential growth, relative to anthesis.","Based on Corley, Ch.5. See fig 5.7. and Adam et al. 2011, see fig 3."
mesocarp_fibers,t_growth_end,0.95,1,NA,"The end of potential growth, relative to anthesis.","Based on Corley, Ch.5. See fig 5.7. and Adam et al. 2011, see fig 3."
mesocarp_oil,conversion_efficiency,0.42,g_DM/g_CH2O,NA,The conversion efficiency.,"Based on Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. In turn based on van Kraalingen, D.W.G., 1989. See text below table II and table III."
mesocarp_oil,potential_mass_fraction,0.35,1,NA,The fraction of the potential mass that can be attributed to this component.,"Based on Corley, Ch.5. See fig 5.7."
mesocarp_oil,specific_maintenance,0.0022,g_CH2O/g_DM/day,NA,The specific maintenance.,"Based on Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. Table II."
mesocarp_oil,t_growth_start,0.9,1,NA,"The start of potential growth, relative to anthesis.","Based on Corley, Ch.5. See fig 5.7. and Adam et al. 2011, see fig 3."
mesocarp_oil,t_growth_end,0.95,1,NA,"The end of potential growth, relative to anthesis.","Based on Corley, Ch.5. See fig 5.7. and Adam et al. 2011, see fig 3."
