Fecha,Edad,Material,Tratamiento,Repetición,Palma,Altura,Emision foliar,Hojas,Área hoja,Área foliar,Volumen estípite,Peso seco foliar,Masa seca vegetativa,Hojas Mes,Índice de área foliar
2010-09-30,7,AAR,1,1,4,250,37,39,8.8,342.9,2102.7,391.2,14729.8,2.64285714285714,5.4
2011-11-08,8.1,AAR,1,1,4,287.2,26,37,9.1,336.9,2376.3,394,10533,2,5.3
2012-12-13,9.2,AAR,1,1,4,399,,31,9.1,282,2478.5,396.9,,,4.4
2015-02-11,11.4,AAR,1,1,4,503,,38,8.7,328.9,2883.7,396.4,,,5.2
2016-03-28,12.5,AAR,1,1,4,512,,38,8.3,314.9,2519.3,357.7,,,4.9
2010-09-30,7,AAR,1,1,5,198,,44,10.3,451.5,2160.2,247.5,,,7.1
2011-11-08,8.1,AAR,1,1,5,275,28,48,9.5,458.2,2268.6,312.2,9016.2,2.15384615384615,7.2
2012-12-13,9.2,AAR,1,1,5,209,,35,8.5,298.4,1561.6,318.1,,,4.7
2015-02-11,11.4,AAR,1,1,5,386,,35,9.9,347.9,2691.5,389.1,,,5.5
2018-08-01,14.8,AAR,1,1,5,607,,36,7.8,279.7,2590.3,262.2,,,4.4
2007-02-20,3.4,AAR,1,1,6,30,6,54,4.3,231,557.2,147.8,954.3,,3.6
2008-02-13,4.4,AAR,1,1,6,67,5,52,4.1,211,1045,180,1026.5,,3.3
2008-08-28,4.9,AAR,1,1,6,85,16,49,5.6,272.2,1090.1,183.4,3066.8,2.66666666666667,4.3
2009-03-26,5.5,AAR,1,1,6,97,15,46,6.5,296.9,1166.6,222.6,3479.6,2.5,4.7
2009-07-31,5.8,AAR,1,1,6,123.5,31,49,5.9,287,1333.3,278.9,8808.4,,4.5
2010-09-30,7,AAR,1,1,6,146,27,48,6.6,316.3,1559.5,263.6,7306.3,1.92857142857143,5
2011-11-08,8.1,AAR,1,1,6,252.5,24,32,6.9,220.8,2120.4,315.3,7824.1,1.84615384615385,3.5
2012-12-13,9.2,AAR,1,1,6,234,,30,10.1,301.9,1639.1,277.2,,,4.7
2016-03-28,12.5,AAR,1,1,6,354,,30,9.1,272.4,1671.1,293,,,4.3
2018-08-01,14.8,AAR,1,1,6,440,,32,7.9,253.5,2066.3,209.2,,,4
2007-02-23,3.4,AAR,1,2,1,45,10,62,5.7,352.1,1019.1,213,2253.2,,5.5
2008-02-19,4.4,AAR,1,2,1,89,6,53,5.7,300.5,1764.2,279,1887.9,,4.7
2008-08-30,4.9,AAR,1,2,1,139,16,48,6.6,318.8,1893.7,270.9,4564.1,2.66666666666667,5
2009-05-27,5.7,AAR,1,2,1,165,20,44,8.2,359.2,1846.1,332.9,6881.5,2.5,5.6
2009-08-06,5.9,AAR,1,2,1,180.3,25,44,8.1,355.9,2058.1,287.6,7439.6,,5.6
2010-10-07,7,AAR,1,2,1,263,34,36,9.7,348.6,2981.4,385.1,13455.2,2.42857142857143,5.5
2011-11-16,8.1,AAR,1,2,1,373.7,27,39,9.6,374,3373.2,297.2,8431.8,2.07692307692308,5.9
2012-12-06,9.2,AAR,1,2,1,379,,35,9.1,320,3204.7,386.2,,,5
2015-02-16,11.4,AAR,1,2,1,493,,35,10.3,360,3485.5,412.5,,,5.7
2016-04-06,12.5,AAR,1,2,1,551,,34,10.8,366,3489.7,389.6,,,5.8
2010-10-07,7,AAR,1,2,2,231,,37,10,371.3,2924.5,634.5,,,5.8
2012-12-06,9.2,AAR,1,2,2,346,,29,9.6,279.6,3486.7,661.8,,,4.4
2015-02-16,11.4,AAR,1,2,2,462,,37,10.8,398.7,2718.5,710.8,,,6.3
2016-04-06,12.5,AAR,1,2,2,528,,41,12.3,503.2,2770,822.2,,,7.9
2018-08-03,14.8,AAR,1,2,2,610,,43,10.6,454.4,2785.2,707.3,,,7.1
2007-02-23,3.4,AAR,1,2,3,54,9,53,3.3,175.8,1180.1,189.7,1850.4,,2.8
2008-02-19,4.4,AAR,1,2,3,90.5,1,43,2.6,111.3,1907.3,360.3,591.3,,1.8
2007-02-23,3.4,AAR,1,2,4,65,10,70,5.4,377.9,1433.8,204.7,2220.9,,5.9
2008-02-19,4.4,AAR,1,2,4,129,6,50,6.2,308,1734.1,248.2,1699.1,,4.8
2008-08-30,4.9,AAR,1,2,4,167,18,52,6,310.5,2285.4,234,4489,3,4.9
2009-05-27,5.7,AAR,1,2,4,233,25,50,7.2,359.4,2932.3,314.4,8215.8,3.125,5.6
2009-08-06,5.9,AAR,1,2,4,235,30,41,7.6,313.4,2702.6,286.1,8911.2,,4.9
2010-10-07,7,AAR,1,2,4,351,35,41,8.4,343.6,4153.9,319.3,11679.7,2.5,5.4
2011-11-16,8.1,AAR,1,2,4,486,32,41,7.5,307,4524.4,294.5,9971,2.46153846153846,4.8
2012-12-06,9.2,AAR,1,2,4,513,,42,8.8,371.3,4298.7,330.4,520.6,,5.8
2016-04-06,12.5,AAR,1,2,4,728,,41,7.6,311.6,4384.3,302.6,530.9,,4.9
2018-08-03,14.8,AAR,1,2,4,790,,37,9.7,359.7,3962.7,408.2,,,5.7
2010-10-07,7,AAR,1,2,5,339,,40,8.7,346.8,4393.2,379.7,532,,5.5
2011-11-16,8.1,AAR,1,2,5,466,30,0,10.5,0,4980.1,427.4,13425.6,2.30769230769231,
2012-12-06,9.2,AAR,1,2,5,506,,44,9.4,415.4,4240.1,471.6,513.5,,6.5
2015-02-16,11.4,AAR,1,2,5,631,,39,10.3,401,4871.2,596.5,589.9,,6.3
2016-04-06,12.5,AAR,1,2,5,707,,38,10,380,4668.8,398.5,565.4,,6
2018-08-03,14.8,AAR,1,2,5,840,,38,9.7,368.8,4807.7,361.6,582.2,,5.8
2007-02-23,3.4,AAR,1,2,6,70,10,68,5.1,345.7,1544.1,217.4,2360.7,,5.4
2008-02-19,4.4,AAR,1,2,6,110,8,63,6.2,388.1,2263.1,294,2625.8,,6.1
2008-08-30,4.9,AAR,1,2,6,135.5,20,56,6.6,368.6,2223.5,278.7,5842.5,3.33333333333333,5.8
2009-05-27,5.7,AAR,1,2,6,163,25,53,7.3,387.6,2716.9,362.2,9383.9,3.125,6.1
2009-08-06,5.9,AAR,1,2,6,178,30,54,7.8,421.5,2469.8,344.1,10622.5,,6.6
2010-10-07,7,AAR,1,2,6,252,37,42,8.2,345,3273,328.6,12553.8,2.64285714285714,5.4
2011-11-16,8.1,AAR,1,2,6,320,29,41,9.9,405.8,3738.5,407.4,12267.5,2.23076923076923,6.4
2012-12-06,9.2,AAR,1,2,6,336,,47,10.2,478.7,3258,417.2,,,7.5
2015-02-16,11.4,AAR,1,2,6,425,,36,11.2,402.5,3575.8,520,,,6.3
2016-04-06,12.5,AAR,1,2,6,467,,39,10,389.3,3445.6,405.8,,,6.1
2018-08-03,14.8,AAR,1,2,6,624,,41,10.1,414.5,3865.7,546.4,,,6.5
2007-02-26,3.4,AAR,1,3,1,30,7,52,3.6,184.8,494.7,116.3,874.1,,2.9
2008-02-16,4.4,AAR,1,3,1,64,6,54,4.7,254.5,1130.7,212.8,1413.8,,4
2008-09-02,4.9,AAR,1,3,1,88.5,20,51,5.1,259.6,1212.7,175.5,3657.7,3.33333333333333,4.1
2009-06-01,5.7,AAR,1,3,1,105,23,47,5.8,274.9,1259,268.6,6330.3,2.875,4.3
2009-08-03,5.8,AAR,1,3,1,125.8,28,45,5.1,229,1349.7,261.1,7473.4,,3.6
2010-10-06,7,AAR,1,3,1,181.5,36,46,5.6,256.2,1771.3,158.6,5922.9,2.57142857142857,4
2011-11-16,8.1,AAR,1,3,1,248.4,31,40,6.7,267.5,2333.9,285.5,9134.4,2.38461538461538,4.2
2012-12-07,9.2,AAR,1,3,1,298,,32,8.1,257.6,2382.9,306.1,,,4
2015-02-12,11.4,AAR,1,3,1,396,,37,8,296.5,2510,534.8,,,4.7
2016-04-04,12.5,AAR,1,3,1,445,,43,7,301.2,2419.5,223.7,,,4.7
2018-08-02,14.8,AAR,1,3,1,583,,33,7.1,233.6,2862.4,295.7,,,3.7
2010-10-06,7,AAR,1,3,2,220,,37,7.7,285.8,2714.3,388.7,,,4.5
2011-11-16,8.1,AAR,1,3,2,296,27,27,8.2,222.6,3032.3,506.6,14044.8,2.07692307692308,3.5
2012-12-07,9.2,AAR,1,3,2,340,,33,10.7,352.9,3162.6,443.1,,,5.5
2016-04-04,12.5,AAR,1,3,2,538,,39,10,390.5,3577.2,427,,,6.1
2018-08-02,14.8,AAR,1,3,2,678,,29,8.1,233.8,4171.9,542.3,505.2,,3.7
2007-02-26,3.4,AAR,1,3,3,50,9,62,5.2,320,865.6,196.3,1871.2,,5
2008-02-16,4.4,AAR,1,3,3,82.5,6,58,5.9,343.6,1580,274.1,1835.8,,5.4
2008-09-02,4.9,AAR,1,3,3,137.5,19,48,7,337.2,1937.2,285.9,5665.8,3.16666666666667,5.3
2009-06-01,5.7,AAR,1,3,3,143,18,47,8.3,392.3,2004.6,378.7,7059.6,2.25,6.2
2009-08-03,5.8,AAR,1,3,3,188,27,40,8.4,336.1,1936.7,299.7,8327.5,,5.3
2010-10-06,7,AAR,1,3,3,227,36,38,8.2,311.3,2486.9,390.5,14358.3,2.57142857142857,4.9
2011-11-16,8.1,AAR,1,3,3,300,30,36,7.5,269.9,2955.2,391.6,12104.5,2.30769230769231,4.2
2012-12-07,9.2,AAR,1,3,3,361,,43,9.8,421.9,3083,405.2,,,6.6
2016-04-04,12.5,AAR,1,3,3,561,,44,8.5,375,3173,315.8,,,5.9
2018-08-02,14.8,AAR,1,3,3,673,,34,8.9,303.2,3347.5,425.9,,,4.8
2007-02-26,3.4,AAR,1,3,4,43,8,60,4.4,266,937.4,132.5,1173.7,,4.2
2008-02-16,4.4,AAR,1,3,4,89,6,51,6,305.1,1793.9,261,1783.1,,4.8
2008-09-02,4.9,AAR,1,3,4,122,17,48,8.2,391.8,1936.7,279.4,4985.2,2.83333333333333,6.2
2009-05-28,5.7,AAR,1,3,4,177,19,42,8.5,357.9,2492.3,373,7388.9,2.375,5.6
2009-08-03,5.8,AAR,1,3,4,164.9,23,47,9.2,431.2,1884.9,284.9,6781,,6.8
2010-10-06,7,AAR,1,3,4,230,31,34,9.5,324.3,2926.1,449.8,14297.1,2.21428571428571,5.1
2011-11-16,8.1,AAR,1,3,4,330,25,39,10,388.1,3262.9,455.6,11785.7,1.92307692307692,6.1
2012-12-07,9.2,AAR,1,3,4,371,,34,11.8,401.4,3370.2,459,,,6.3
2015-02-12,11.4,AAR,1,3,4,509,,30,11.1,333.6,3861.6,293.1,,,5.2
2016-04-04,12.5,AAR,1,3,4,556,,38,11.8,447.6,3676.4,468.2,,,7
2018-08-02,14.8,AAR,1,3,4,706,,34,11.5,390.9,4813.4,534.5,582.9,,6.1
2010-10-06,7,AAR,1,3,5,175,,32,7.2,230.4,1842.5,250.5,,,3.6
2011-11-16,8.1,AAR,1,3,5,242.7,26,33,7.9,259.6,2134.1,347.6,9295.8,2,4.1
2012-12-07,9.2,AAR,1,3,5,248,,30,9.2,274.6,2031.6,334,,,4.3
2015-02-16,11.4,AAR,1,3,5,349,,38,10,379.7,2482.7,387.3,,,6
2016-04-04,12.5,AAR,1,3,5,350,,30,10.2,304.5,1739.1,389.9,,,4.8
2018-08-02,14.8,AAR,1,3,5,510,,28,8.2,231,2580.5,392.5,,,3.6
2007-02-26,3.4,AAR,1,3,6,63,11,67,3.6,242,1225.5,141.2,1701.3,,3.8
2008-02-16,4.4,AAR,1,3,6,99,7,58,4.8,279.9,1963.8,197.5,1620.4,,4.4
2008-09-02,4.9,AAR,1,3,6,135,21,58,4.9,284.3,1959.5,200.4,4445.8,3.5,4.5
2009-05-28,5.7,AAR,1,3,6,192,25,56,6.9,387.5,2337.1,246.2,6437.1,3.125,6.1
2009-08-03,5.8,AAR,1,3,6,192,31,50,6.7,334.5,2309.7,365.1,11598.1,,5.3
2010-10-06,7,AAR,1,3,6,250,43,46,7.5,343.6,2742.5,292.9,12925.4,3.07142857142857,5.4
2011-11-16,8.1,AAR,1,3,6,357,34,45,6.1,275.2,3336.7,236.3,8437.7,2.61538461538462,4.3
2012-12-07,9.2,AAR,1,3,6,391,,42,8,335.3,3130.8,344.4,,,5.3
2015-02-16,11.4,AAR,1,3,6,495,,36,8.6,308.9,3208.3,326.5,,,4.9
2016-04-04,12.5,AAR,1,3,6,565,,42,8.9,372,2538.4,277.2,,,5.8
2018-08-02,14.8,AAR,1,3,6,641,,38,7.7,294.3,2501.2,399.5,,,4.6
2007-03-02,3.4,AAR,1,4,1,50,8,54,4.2,224.3,896.4,186.4,1600,,3.5
2008-03-05,4.4,AAR,1,4,1,87,15,49,5.7,281.2,1616.2,251,3960.8,1.25,4.4
2008-09-05,4.9,AAR,1,4,1,190,16,51,5.6,284,2780.2,232.4,4055.7,2.66666666666667,4.5
2009-08-09,5.9,AAR,1,4,1,163,29,43,8,343.3,2063.8,391.5,11604.1,2.63636363636364,5.4
2010-10-13,7,AAR,1,4,1,230,30,38,7.6,287.6,2271.1,394.9,12120.7,2.14285714285714,4.5
2011-12-02,8.2,AAR,1,4,1,308,25,35,8.6,301.9,2795.4,313,8163.5,1.92307692307692,4.7
2012-11-30,9.2,AAR,1,4,1,342,,34,9.5,321.6,2926.9,362.3,,,5.1
2015-02-18,11.4,AAR,1,4,1,473,,43,7.9,341.1,3454.6,447.6,,,5.4
2016-04-18,12.6,AAR,1,4,1,537,,38,7.5,283.2,3442.8,395.2,,,4.5
2018-08-13,14.9,AAR,1,4,1,632,,29,8.5,247.1,3191.3,442.7,,,3.9
2010-10-13,7,AAR,1,4,2,280,,42,0,0,3600.3,,,,
2011-12-02,8.2,AAR,1,4,2,342,33,44,10.7,472.5,3836.1,475.1,16141.5,2.53846153846154,7.4
2012-11-30,9.2,AAR,1,4,2,421,,39,8.7,338.6,3837,489.5,,,5.3
2018-08-13,14.9,AAR,1,4,2,752,,33,10.7,352.6,3266.3,530.9,,,5.5
2007-03-02,3.4,AAR,1,4,3,37,10,53,6.2,329.6,694.7,223.6,2319.7,,5.2
2008-03-04,4.4,AAR,1,4,3,109,7,46,8.4,385.2,2055.7,322.3,2504.8,,6.1
2008-09-06,4.9,AAR,1,4,3,247,16,48,7.3,350.5,3347,348,5973.7,2.66666666666667,5.5
2009-08-09,5.9,AAR,1,4,3,220,25,39,10.1,392.6,2620.4,475.1,12194.6,2.27272727272727,6.2
2010-10-13,7,AAR,1,4,3,290,29,35,10.8,379,2810,548.7,16253.3,2.07142857142857,6
2011-12-02,8.2,AAR,1,4,3,377,34,31,10.9,336.8,3869,419.7,14740,2.61538461538462,5.3
2012-11-30,9.2,AAR,1,4,3,337,,33,10.6,348.5,3005.3,435.1,,,5.5
2015-02-18,11.4,AAR,1,4,3,569,,33,12.1,399.9,3796.1,527.9,,,6.3
2016-04-18,12.6,AAR,1,4,3,639,,33,10.1,333.4,3960,487.5,,,5.2
2018-08-13,14.9,AAR,1,4,3,746,,31,10.7,331.1,3846.8,485.8,,,5.2
2007-03-02,3.4,AAR,1,4,4,35,9,57,4.8,274.3,631.6,136.8,1308,,4.3
2008-03-05,4.4,AAR,1,4,4,44,9,50,7.6,382.2,744.9,239,2241.6,,6
2008-09-05,4.9,AAR,1,4,4,149,18,49,6.4,314.5,2098.7,242.7,4622.1,3,4.9
2009-08-09,5.9,AAR,1,4,4,174,28,43,7.1,307,1947.8,383.2,10966.5,2.54545454545455,4.8
2010-10-13,7,AAR,1,4,4,240,32,45,9.3,418.6,2342.6,299.4,9866,2.28571428571429,6.6
2011-12-02,8.2,AAR,1,4,4,317,29,36,10.1,364.7,2764.7,327.9,9843.7,2.23076923076923,5.7
2012-11-30,9.2,AAR,1,4,4,392,,32,13,414.9,3260.9,373.2,,,6.5
2015-02-18,11.4,AAR,1,4,4,560,,37,15.1,559.9,3519.7,455,,,8.8
2018-08-13,14.9,AAR,1,4,4,756,,34,11.7,399,3202.8,435.1,,,6.3
2010-10-13,7,AAR,1,4,5,210,,34,8.5,288.8,2163.1,344.1,,,4.5
2011-12-02,8.2,AAR,1,4,5,320,26,36,9.2,331.1,2728.2,281.5,7650.5,2,5.2
2012-11-30,9.2,AAR,1,4,5,348,,29,8.9,257.2,3095.8,327.2,,,4
2015-02-18,11.4,AAR,1,4,5,446.8,,28,8.5,239.4,2941.6,363.6,,,3.8
2018-08-13,14.9,AAR,1,4,5,683,,25,10.8,270.6,2469.7,381.6,,,4.3
2007-03-02,3.4,AAR,1,4,6,54,6,56,5.3,299,983.9,223,1457,,4.7
2008-03-04,4.4,AAR,1,4,6,94,16,48,6.6,318.1,1564.8,298,4957.4,1.33333333333333,5
2008-09-06,4.9,AAR,1,4,6,217,16,49,6,291.8,3094.4,256.9,4485.1,2.66666666666667,4.6
2009-08-09,5.9,AAR,1,4,6,205,27,40,7.2,288.4,2791.5,427.5,11880.8,2.45454545454545,4.5
2010-10-13,7,AAR,1,4,6,293,33,38,8.2,312.3,2934.8,468.4,15812.4,2.35714285714286,4.9
2011-12-02,8.2,AAR,1,4,6,386,29,35,10.4,364.2,3772.5,387.1,11682.3,2.23076923076923,5.7
2012-11-30,9.2,AAR,1,4,6,426,,35,10.4,365.4,3724.7,429.3,,,5.7
2016-04-18,12.6,AAR,1,4,6,598,,43,10.5,449.6,3680.3,414.4,,,7.1
2018-08-13,14.9,AAR,1,4,6,735,,32,9.8,313.5,3192.5,464.5,,,4.9
2007-02-15,3.4,CORPOICA,2,1,1,39.5,9,61,4.2,254.1,1040.7,143.4,1416.8,,4
2008-02-06,4.4,CORPOICA,2,1,1,104.5,7,67,5.7,383.4,2323.6,241.5,1971.9,,6
2008-08-27,4.9,CORPOICA,2,1,1,138.5,21,56,5.8,325.5,2048.1,265.9,5831,3.5,5.1
2009-03-25,5.5,CORPOICA,2,1,1,172,19,45,7.2,326,2279.8,307.6,6119.7,3.16666666666667,5.1
2009-07-30,5.8,CORPOICA,2,1,1,200,25,47,4.9,229.2,2845.9,338.7,8811.1,,3.6
2010-10-04,7,CORPOICA,2,1,1,283,33,38,8.4,320.5,3272.4,221.6,7709.6,2.35714285714286,5
2011-11-10,8.1,CORPOICA,2,1,1,366,33,42,6.8,284.7,3779.5,377.2,12904.1,2.53846153846154,4.5
2013-01-18,9.3,CORPOICA,2,1,1,436,,41,9.6,393,3902.4,425.6,,,6.2
2015-02-11,11.4,CORPOICA,2,1,1,545,,30,10,299,4011.1,402.9,,,4.7
2016-03-16,12.5,CORPOICA,2,1,1,0,,33,8.8,289.3,0,439.6,,,4.5
2018-07-30,14.8,CORPOICA,2,1,1,685,,35,8,279.9,4261.4,428.5,516.1,,4.4
2010-10-04,7,CORPOICA,2,1,2,204,,57,6.1,348,1919.7,181.8,,,5.5
2011-11-10,8.1,CORPOICA,2,1,2,298,32,48,6.9,331.2,2530.1,203.8,6828.9,2.46153846153846,5.2
2013-01-18,9.3,CORPOICA,2,1,2,334,,40,6.9,277.5,2788.5,170.8,,,4.4
2015-02-11,11.4,CORPOICA,2,1,2,430,,37,8.5,315.1,2877.4,248.7,,,5
2016-03-16,12.5,CORPOICA,2,1,2,476,,37,7.5,278.3,2520.2,211.4,,,4.4
2018-07-30,14.8,CORPOICA,2,1,2,597,,36,5.8,209.8,3073.6,248.5,,,3.3
2007-02-15,3.4,CORPOICA,2,1,3,49.5,11,65,3.8,244.7,1002.3,158.8,1868.2,,3.8
2008-02-06,4.4,CORPOICA,2,1,3,55.5,6,62,5.8,357.1,1101.5,214.4,1419.7,,5.6
2008-08-27,4.9,CORPOICA,2,1,3,86.5,22,57,6.9,393.2,1458.8,234.8,5341.7,3.66666666666667,6.2
2009-03-25,5.5,CORPOICA,2,1,3,113,20,48,7.6,365.7,1617.2,296.3,6121.4,3.33333333333333,5.7
2009-07-30,5.8,CORPOICA,2,1,3,118,30,52,8.2,428.7,1719.6,297.1,9120.5,,6.7
2010-10-04,7,CORPOICA,2,1,3,200,32,38,8.3,314.4,2463.8,287.5,9499.5,2.28571428571429,4.9
2011-11-10,8.1,CORPOICA,2,1,3,282,16,28,8.4,236,3103.2,302.5,5215.2,1.23076923076923,3.7
2013-01-18,9.3,CORPOICA,2,1,3,311,,42,10,418,2954,302.9,,,6.6
2015-02-11,11.4,CORPOICA,2,1,3,390,,34,8.2,279.7,3127.5,279,,,4.4
2016-03-16,12.5,CORPOICA,2,1,3,425,,32,7.5,241.5,2741.8,220.9,,,3.8
2018-07-30,14.8,CORPOICA,2,1,3,502,,42,7.5,315.4,3467.6,361,,,5
2007-02-15,3.4,CORPOICA,2,1,4,38.7,4,63,3.4,214.8,779,154.4,712,,3.4
2008-02-06,4.4,CORPOICA,2,1,4,104.3,8,64,4.3,275.6,2161,149.2,1455.3,,4.3
2008-08-27,4.9,CORPOICA,2,1,4,145.3,25,57,4.4,253.3,2308.4,178.5,4741.3,4.16666666666667,4
2009-03-25,5.5,CORPOICA,2,1,4,171,24,50,5.2,262.3,2197.9,219.8,5540.8,4,4.1
2009-07-30,5.8,CORPOICA,2,1,4,192.5,29,66,5.9,391.3,2871.2,211.3,6474.1,,6.2
2010-10-04,7,CORPOICA,2,1,4,280,54,59,5.6,331.7,3082,255.9,14190.4,3.85714285714286,5.2
2011-11-10,8.1,CORPOICA,2,1,4,379,28,50,5.5,273.8,3983.8,205.5,6236.8,2.15384615384615,4.3
2013-01-18,9.3,CORPOICA,2,1,4,426,,38,8,304.1,3849.5,289,,,4.8
2015-02-11,11.4,CORPOICA,2,1,4,535,,30,6.1,184.1,4483.2,208.7,542.9,,2.9
2016-03-16,12.5,CORPOICA,2,1,4,579,,36,6.2,224,3576.4,258.7,,,3.5
2018-07-30,14.8,CORPOICA,2,1,4,689,,37,6.2,228.1,3902,349,,,3.6
2010-10-04,7,CORPOICA,2,1,5,249,,34,8.2,279.7,2662.6,315.4,,,4.4
2011-11-10,8.1,CORPOICA,2,1,5,345,25,34,8.5,290.4,3367.1,357,9332.9,1.92307692307692,4.6
2013-01-18,9.3,CORPOICA,2,1,5,407,,35,10.8,379,3559.7,334.6,,,6
2007-02-15,3.4,CORPOICA,2,1,6,29.9,7,64,4.1,260.8,604.5,171.5,1273.4,,4.1
2008-02-06,4.4,CORPOICA,2,1,6,97,5,65,6.2,404.6,1956.3,217.6,1324.9,,6.4
2008-08-27,4.9,CORPOICA,2,1,6,127,22,63,7.1,444.2,1813.3,198.2,4580.9,3.66666666666667,7
2009-03-25,5.5,CORPOICA,2,1,6,160,21,53,7.8,412.7,2222.8,263.5,5803.2,3.5,6.5
2009-07-30,5.8,CORPOICA,2,1,6,183,32,64,8.2,525.8,2644.8,263.1,8739.5,,8.3
2010-10-04,7,CORPOICA,2,1,6,270,29,44,9.9,435.2,2586.9,365.5,10912.9,2.07142857142857,6.8
2011-11-10,8.1,CORPOICA,2,1,6,353,31,42,7.8,326.6,3610.4,290.1,9430.2,2.38461538461538,5.1
2013-01-18,9.3,CORPOICA,2,1,6,397,,39,9.4,367.4,3958.5,298.3,,,5.8
2016-03-16,12.5,CORPOICA,2,1,6,530,,33,8.6,285.4,3592.6,341.6,,,4.5
2018-07-30,14.8,CORPOICA,2,1,6,655,,43,9.2,395.4,3765.7,324.1,,,6.2
2007-02-23,3.4,CORPOICA,2,2,1,67,11,73,4.8,351.5,1464.1,185.9,2222,,5.5
2008-02-15,4.4,CORPOICA,2,2,1,97,6,58,5.2,303.7,1916.5,247,1714.1,,4.8
2008-08-30,4.9,CORPOICA,2,2,1,118,19,55,7.2,395.5,1852.4,246.1,4901,3.16666666666667,6.2
2009-04-14,5.5,CORPOICA,2,2,1,163,20,48,8.7,415.6,2551,325.9,6827.4,2.85714285714286,6.5
2010-10-05,7,CORPOICA,2,2,1,306,,44,7.1,312.1,3803,299.9,,,4.9
2011-11-11,8.1,CORPOICA,2,2,1,317.5,31,47,10.8,509.2,3023.3,368,11774.4,2.38461538461538,8
2012-12-07,9.2,CORPOICA,2,2,1,410,,42,9.6,404.2,3733.4,396.4,,,6.4
2016-04-04,12.5,CORPOICA,2,2,1,600,,48,9.9,473.9,3486.4,370.1,,,7.4
2018-08-02,14.8,CORPOICA,2,2,1,735,,43,7.9,340.6,4506.9,419.4,545.8,,5.4
2010-10-05,7,CORPOICA,2,2,2,360.3,,41,7.4,303.7,4929.7,267.9,597,,4.8
2011-11-11,8.1,CORPOICA,2,2,2,343.8,33,32,7.7,247.5,3828.6,345.2,11854,2.53846153846154,3.9
